Time [s]	Current [A]	Voltage [V]	
0.001770	67.800000	0.000002
0.501285	67.780000	0.031751
1.001302	67.750000	0.031749
1.501335	67.720000	0.031748
2.001358	67.720000	0.031745
2.501390	67.700000	0.031742
3.001422	67.700000	0.031740
3.501451	67.680000	0.031738
4.001472	67.700000	0.031736
4.501510	67.640000	0.031733
5.001534	67.610000	0.031682
5.501566	67.600000	0.031703
6.001589	67.660000	0.031701
6.501626	67.680000	0.031715
7.001677	67.680000	0.031717
7.501678	67.680000	0.031717
8.001736	67.680000	0.031716
8.501736	67.680000	0.031714
9.001771	67.680000	0.031714
9.501793	67.670000	0.031712
10.001819	67.670000	0.031713
10.501850	67.660000	0.031712
11.001879	67.660000	0.031709
11.501911	67.660000	0.031707
12.001937	67.660000	0.031706
12.501969	67.660000	0.031705
13.001992	67.650000	0.031705
13.501036	67.650000	0.031703
14.001052	67.640000	0.031702
14.501119	67.640000	0.031701
15.001112	67.630000	0.031700
15.501138	67.630000	0.031699
16.001280	67.630000	0.031698
16.501201	67.630000	0.031696
17.001233	67.620000	0.031695
17.501256	67.630000	0.031695
18.001283	67.620000	0.031693
18.501318	67.620000	0.031692
19.001340	67.630000	0.031692
19.501371	67.610000	0.031689
20.001399	67.620000	0.031690
20.501422	67.600000	0.031688
21.001457	67.620000	0.031686
21.501486	67.620000	0.031686
22.001519	67.620000	0.031685
22.501545	67.610000	0.031684
23.001577	67.620000	0.031683
23.501604	67.620000	0.031682
24.001627	67.620000	0.031681
24.501675	67.610000	0.031680
25.001687	67.610000	0.031679
25.501720	67.600000	0.031679
26.001747	67.600000	0.031678
26.501775	67.600000	0.031677
27.001804	67.600000	0.031676
27.501846	67.600000	0.031675
28.001853	67.600000	0.031674
28.501878	67.600000	0.031673
29.001911	67.590000	0.031673
29.501947	67.590000	0.031672
30.001967	67.590000	0.031671
30.501996	67.580000	0.031669
31.001028	67.580000	0.031669
31.501057	67.570000	0.031668
32.001159	67.570000	0.031667
32.501107	67.580000	0.031665
33.001133	67.570000	0.031665
33.501157	67.560000	0.031664
34.001188	67.560000	0.031664
34.501207	67.570000	0.031664
35.001246	67.580000	0.031664
35.501266	67.560000	0.031662
36.001295	67.560000	0.031660
36.501327	67.560000	0.031660
37.001354	67.550000	0.031660
37.501380	67.570000	0.031658
38.001411	67.560000	0.031658
38.501439	67.560000	0.031657
39.001471	67.560000	0.031656
39.501495	67.560000	0.031656
40.001547	67.560000	0.031653
40.501553	67.560000	0.031654
41.001581	67.560000	0.031653
41.501615	67.560000	0.031652
42.001641	67.550000	0.031652
42.501666	67.550000	0.031650
43.001699	67.550000	0.031650
43.501726	67.520000	0.031614
44.001760	67.520000	0.031628
44.501783	67.560000	0.031650
45.001810	67.540000	0.031653
45.501839	67.590000	0.031663
46.001868	67.530000	0.031665
46.501898	67.570000	0.031662
47.001927	67.510000	0.031642
47.501980	67.540000	0.031645
48.001988	67.540000	0.031653
48.501016	67.460000	0.031637
49.001065	67.520000	0.031632
49.633975	67.520000	0.031640
50.134106	67.550000	0.031632
50.634134	67.580000	0.031658
51.134163	67.570000	0.031662
