Time [s]	Current [A]	Voltage [V]	
0.001531	0.000000	0.000004
0.500782	0.000000	0.000005
1.000812	0.000000	0.000005
1.500826	0.000000	0.000005
2.000867	0.000000	0.000130
2.500892	0.000000	0.000177
3.000939	0.000000	0.000222
3.500960	0.000000	0.000222
4.000977	0.000000	0.000270
4.501035	1.020000	0.000315
5.001038	1.130000	0.000408
5.501062	1.200000	0.000457
6.001122	1.360000	0.000502
6.501125	1.470000	0.000549
7.001161	1.470000	0.000593
7.500210	1.690000	0.000594
8.000212	1.810000	0.000684
8.500238	1.800000	0.000737
9.000281	1.910000	0.000737
9.500303	2.130000	0.000778
10.000360	2.250000	0.000871
10.500347	2.350000	0.000923
11.000392	2.470000	0.000965
11.500431	2.570000	0.001015
12.000430	2.660000	0.001057
12.500470	2.780000	0.001109
13.000516	2.800000	0.001152
13.500526	2.810000	0.001151
14.000591	3.020000	0.001201
14.500591	3.100000	0.001244
15.000638	3.170000	0.001296
15.500626	3.360000	0.001387
16.000682	3.480000	0.001430
16.500711	3.580000	0.001478
17.000762	3.590000	0.001478
17.500839	3.700000	0.001523
18.000806	3.870000	0.001571
18.500892	4.080000	0.001617
19.000920	4.140000	0.001709
19.500866	4.320000	0.001757
20.000990	4.480000	0.001803
20.675471	4.460000	0.001851
21.174968	4.580000	0.001850
21.674991	4.690000	0.001897
22.175023	4.700000	0.001945
22.675049	4.800000	0.001989
23.175101	5.020000	0.002037
23.675156	5.040000	0.002083
24.260485	5.370000	0.002131
24.760170	5.360000	0.002224
25.259209	5.470000	0.002223
25.759236	5.590000	0.002266
26.259325	5.810000	0.002318
26.890703	5.910000	0.002411
27.390336	6.030000	0.002453
27.890367	6.030000	0.002504
28.390384	6.050000	0.002504
28.890434	6.240000	0.002596
29.390448	6.250000	0.002597
29.890553	6.380000	0.002639
30.390513	6.650000	0.002733
30.890538	6.710000	0.002783
31.390555	6.810000	0.002824
31.890581	6.930000	0.002876
32.390614	7.070000	0.002876
32.890649	7.240000	0.002966
33.390678	7.250000	0.003012
33.890691	7.540000	0.003105
34.390724	7.660000	0.003154
34.890802	7.810000	0.003198
35.390784	7.920000	0.003246
35.890809	7.920000	0.003292
36.390835	8.030000	0.003340
36.890889	8.150000	0.003385
37.390889	8.260000	0.003432
37.890922	8.370000	0.003478
38.390939	8.490000	0.003527
38.890964	8.670000	0.003571
39.391079	8.700000	0.003620
40.020343	9.020000	0.003661
40.520057	9.110000	0.003755
41.020082	9.240000	0.003806
41.520127	9.240000	0.003849
42.020146	9.470000	0.003847
42.519173	9.590000	0.003942
43.019232	9.820000	0.003992
43.519232	9.900000	0.004085
44.019278	9.900000	0.004128
44.519295	10.030000	0.004128
45.019317	10.130000	0.004178
45.519342	10.360000	0.004220
46.019373	10.350000	0.004314
46.519406	10.440000	0.004314
47.020237	10.630000	0.004365
47.519464	10.770000	0.004456
48.019491	10.810000	0.004501
48.519525	10.920000	0.004549
49.019595	10.910000	0.004549
49.519601	11.030000	0.004593
50.019613	11.300000	0.004642
50.519648	11.380000	0.004737
51.019672	11.480000	0.004780
