Time [s]	Current [A]	Voltage [V]	
0.833962	4.090000	0.006332
1.333941	6.010000	0.011722
1.833966	7.780000	0.016143
2.333998	12.520000	0.020407
2.834016	15.010000	0.020787
3.334064	17.520000	0.028524
3.834073	20.010000	0.031643
4.334117	22.520000	0.036399
4.834147	25.020000	0.043790
5.334167	27.510000	0.049018
5.834204	30.020000	0.052970
6.333220	32.520000	0.060038
6.833269	35.010000	0.063787
7.333277	37.520000	0.071593
7.833318	40.010000	0.073625
8.333334	42.520000	0.079014
8.833369	45.010000	0.086495
9.333395	47.520000	0.088737
9.833432	49.490000	0.092128
10.333446	49.510000	0.096701
10.833481	49.510000	0.096616
11.333519	49.510000	0.096552
11.833545	49.530000	0.096518
12.333576	49.530000	0.096441
12.833601	49.530000	0.096430
13.333629	49.530000	0.096379
13.833662	49.530000	0.096339
14.333686	49.500000	0.096612
14.833718	49.500000	0.096468
15.333745	49.500000	0.096457
15.833770	49.500000	0.096415
16.333806	49.520000	0.096391
16.833829	49.520000	0.096367
17.333866	49.520000	0.096336
17.833887	49.510000	0.096367
18.333915	49.510000	0.096353
18.833947	49.500000	0.096331
19.333971	49.520000	0.096305
19.834005	49.510000	0.096286
