Time [s]	Current [A]	Voltage [V]	
1.156011	0.000000	0.000001
1.406257	0.000000	0.000278
1.656334	0.000000	0.001038
1.906398	1.010000	0.001435
2.156095	1.030000	0.001838
2.406072	1.410000	0.002167
2.656443	1.610000	0.002480
2.913693	1.800000	0.002808
3.163106	2.010000	0.002946
3.413473	2.200000	0.003433
3.663147	2.220000	0.003752
3.913176	2.600000	0.003956
4.163469	2.810000	0.004104
4.434956	2.820000	0.004430
4.684418	3.210000	0.004756
4.934479	3.230000	0.005166
5.184229	3.600000	0.005615
5.433243	3.620000	0.006031
5.683275	4.010000	0.006279
5.933255	4.210000	0.006363
6.206741	4.220000	0.006689
6.456292	4.610000	0.007018
6.706616	4.620000	0.007423
6.956328	5.010000	0.007951
7.206722	5.030000	0.008301
7.456359	5.410000	0.008555
7.706722	5.610000	0.008644
7.979474	5.620000	0.008970
8.229385	6.010000	0.009294
8.479704	6.030000	0.009691
8.729433	6.410000	0.010159
8.979455	6.420000	0.010581
9.229477	6.810000	0.010813
9.479457	7.010000	0.010934
9.752824	7.030000	0.011266
10.002495	7.410000	0.011597
10.252835	7.430000	0.012034
10.502530	7.820000	0.012495
10.752559	7.840000	0.012899
11.002559	8.220000	0.013169
11.252805	8.220000	0.013512
11.502600	8.610000	0.013884
11.752606	8.810000	0.014169
12.002601	9.010000	0.014445
12.252659	9.040000	0.014907
12.502650	9.420000	0.015219
12.752644	9.420000	0.015436
13.002681	9.810000	0.015877
13.252705	9.820000	0.016243
13.502720	10.210000	0.016546
13.752999	10.410000	0.016915
14.006935	10.550000	0.016974
14.264025	10.810000	0.017273
14.513747	10.840000	0.017679
14.763983	11.210000	0.018073
15.013882	11.230000	0.018547
15.263814	11.610000	0.018962
15.513821	11.810000	0.019255
15.778850	11.950000	0.019314
16.037856	12.210000	0.019657
16.288094	12.230000	0.020010
16.537882	12.610000	0.020563
16.787894	12.640000	0.020980
17.037907	13.020000	0.021388
17.287929	13.220000	0.021664
17.551314	13.350000	0.021738
17.809364	13.610000	0.022089
18.058949	13.640000	0.022436
18.309236	14.020000	0.022900
18.559354	14.040000	0.023396
18.809008	14.410000	0.023834
19.059024	14.620000	0.024181
19.323969	14.750000	0.024205
19.582081	15.020000	0.024549
19.832055	15.040000	0.024907
20.082273	15.410000	0.025402
20.332097	15.440000	0.025876
20.582112	15.810000	0.026336
20.832127	16.020000	0.026651
21.096697	16.150000	0.026693
21.355590	16.410000	0.027059
21.605451	16.430000	0.027436
21.855392	16.820000	0.027915
22.105194	16.830000	0.028510
22.355216	17.210000	0.028866
22.605226	17.410000	0.029217
22.869331	17.550000	0.029241
23.127326	17.800000	0.029598
23.377256	17.840000	0.029966
23.627301	18.220000	0.030466
23.877709	18.230000	0.030997
24.127315	18.610000	0.031465
24.377350	18.800000	0.031743
24.642099	18.940000	0.031856
24.900090	19.210000	0.032204
25.149359	19.230000	0.032620
25.399723	19.610000	0.033081
25.649400	19.640000	0.033682
25.899411	20.010000	0.034086
26.149426	20.210000	0.034379
26.414809	20.340000	0.034482
26.673940	20.610000	0.034856
26.923693	20.630000	0.035308
27.173883	21.020000	0.035783
27.423495	21.030000	0.036301
27.673511	21.410000	0.036777
27.923529	21.610000	0.037086
28.187606	21.750000	0.037166
28.446562	22.010000	0.037547
28.696799	22.040000	0.037951
28.946985	22.420000	0.038487
29.196602	22.440000	0.039050
29.446618	22.820000	0.039521
29.696630	23.010000	0.039869
29.960196	23.140000	0.039931
30.218289	23.420000	0.040333
30.467665	23.440000	0.040742
30.717968	23.810000	0.041288
30.967702	23.840000	0.041818
31.217724	24.220000	0.042345
31.467737	24.410000	0.042646
31.732977	24.540000	0.042751
31.991077	24.820000	0.043158
32.240761	24.840000	0.043641
32.491077	25.220000	0.044089
32.740860	25.240000	0.044814
32.990824	25.610000	0.045285
33.240837	25.810000	0.045583
33.505853	25.940000	0.045692
33.764708	26.210000	0.046099
34.013869	26.230000	0.046529
34.264175	26.610000	0.047073
34.513931	26.630000	0.047664
34.763926	27.010000	0.048199
35.013944	27.210000	0.048602
35.279725	27.410000	0.049054
35.574819	27.610000	0.049488
35.842315	27.810000	0.049906
36.111264	28.010000	0.049925
36.369937	28.040000	0.050336
36.619012	28.420000	0.050781
36.869323	28.440000	0.051363
37.119051	28.810000	0.051980
37.369067	28.830000	0.052515
37.619084	29.220000	0.052847
37.883322	29.410000	0.052933
38.142812	29.440000	0.053385
38.392368	29.820000	0.053826
38.642137	29.840000	0.054464
38.892152	30.220000	0.055058
39.142623	30.240000	0.055171
39.392186	30.620000	0.055692
39.645472	30.630000	0.056076
39.895200	31.020000	0.056510
40.145534	31.030000	0.057123
40.394603	31.410000	0.057755
40.644252	31.430000	0.058349
40.894267	31.810000	0.058774
41.160565	32.020000	0.059255
41.428036	32.210000	0.059696
41.677301	32.230000	0.060001
41.927393	32.620000	0.060619
42.177345	32.820000	0.060827
42.427357	33.020000	0.061290
42.677374	33.140000	0.061834
42.927475	33.420000	0.062001
43.177711	33.440000	0.062582
43.428580	33.820000	0.063280
43.677964	33.840000	0.063393
43.927749	34.220000	0.064047
44.177693	34.240000	0.064312
44.427462	34.610000	0.064777
44.677726	34.620000	0.065391
44.927538	35.010000	0.065943
45.177844	35.030000	0.066613
45.427535	35.410000	0.066930
45.698092	35.610000	0.067607
45.965649	35.810000	0.068077
46.236603	35.830000	0.068221
46.486599	36.210000	0.068967
46.736603	36.230000	0.069509
46.986621	36.610000	0.069845
47.281696	36.810000	0.070496
47.549231	37.010000	0.070973
47.817585	37.210000	0.070956
48.075943	37.230000	0.071437
48.325682	37.620000	0.071931
48.575981	37.640000	0.072675
48.826360	38.020000	0.073382
49.076608	38.140000	0.073836
49.325752	38.410000	0.074006
49.575765	38.540000	0.074566
49.825769	38.810000	0.074830
50.076078	38.820000	0.075347
50.326068	39.220000	0.076119
50.576087	39.230000	0.076263
50.825835	39.620000	0.076759
51.083475	39.620000	0.077236
51.332857	40.020000	0.077753
51.583187	40.030000	0.078312
51.832895	40.410000	0.079006
52.082916	40.430000	0.079670
52.332941	40.820000	0.079921
52.597190	41.020000	0.080482
52.865599	41.210000	0.080927
53.114974	41.230000	0.081014
53.364981	41.610000	0.081604
53.614983	41.630000	0.081798
53.865300	42.010000	0.082381
54.115053	42.030000	0.082868
54.365036	42.420000	0.083495
54.615054	42.550000	0.083353
54.870071	42.820000	0.083605
55.120324	42.830000	0.083861
55.370455	43.210000	0.084420
55.620128	43.340000	0.085187
55.870530	43.620000	0.085064
56.120436	43.730000	0.085450
56.370384	44.020000	0.085909
56.620462	44.220000	0.086410
56.870184	44.410000	0.086633
57.134579	44.610000	0.087299
57.402994	44.820000	0.087250
57.661445	44.830000	0.087675
57.910441	45.210000	0.087693
58.160498	45.240000	0.087854
58.410274	45.620000	0.088149
58.660293	45.630000	0.088519
58.910309	46.020000	0.089060
59.175482	46.220000	0.089644
59.425325	46.420000	0.089577
59.675343	46.530000	0.090273
59.925346	46.810000	0.090362
60.175440	46.940000	0.090892
60.427202	47.220000	0.091257
60.676390	47.240000	0.091559
60.926721	47.620000	0.092143
61.176788	47.630000	0.092900
61.426444	48.020000	0.093546
61.676464	48.220000	0.093955
61.942225	48.330000	0.093960
62.199831	48.620000	0.094258
62.449492	48.640000	0.094715
62.699767	49.020000	0.095367
62.949841	49.140000	0.096002
63.199835	49.420000	0.096192
63.449807	49.540000	0.096762
63.699809	49.830000	0.097094
63.949575	49.830000	0.097635
64.199835	50.210000	0.098359
64.449605	50.410000	0.099202
64.699631	50.430000	0.099847
64.949644	50.820000	0.100156
65.217369	51.020000	0.100987
65.466668	51.030000	0.100832
65.718566	51.420000	0.101621
65.967694	51.430000	0.101766
66.217999	51.810000	0.102262
66.467739	51.830000	0.102977
66.717747	52.220000	0.103659
66.967764	52.420000	0.104026
67.232988	52.540000	0.104066
67.491342	52.820000	0.104451
67.740798	52.830000	0.104971
67.991051	53.210000	0.105632
68.241421	53.230000	0.106361
68.491197	53.620000	0.106921
68.741671	53.810000	0.107165
69.004592	54.010000	0.107705
69.253880	54.030000	0.107927
69.503907	54.410000	0.108301
69.753920	54.620000	0.108360
70.024833	54.730000	0.108447
70.284221	55.020000	0.109028
70.533953	55.030000	0.109336
70.784245	55.420000	0.109976
71.034223	55.430000	0.110344
71.283999	55.810000	0.110951
71.534009	55.930000	0.111125
71.788099	56.220000	0.111737
72.038043	56.350000	0.112060
72.288055	56.430000	0.112763
72.538101	56.810000	0.113369
72.788103	56.830000	0.113860
73.038114	57.220000	0.114205
73.300721	57.420000	0.115270
73.569068	57.620000	0.115427
73.837454	57.820000	0.115362
74.096838	57.840000	0.115614
74.346183	58.220000	0.116450
74.596488	58.240000	0.116903
74.846504	58.620000	0.117665
75.096225	58.640000	0.118164
75.345252	59.020000	0.118447
75.610847	59.220000	0.119530
75.880988	59.430000	0.119622
76.130579	59.450000	0.120533
76.380594	59.820000	0.120933
76.630640	60.030000	0.121463
76.900989	60.210000	0.122207
77.150642	60.230000	0.123267
77.400359	60.620000	0.124138
77.650372	60.820000	0.124331
77.918491	61.010000	0.124650
78.186725	61.220000	0.125045
78.455086	61.350000	0.125021
78.714647	61.620000	0.125487
78.964727	61.640000	0.126373
79.214839	62.020000	0.127319
79.464481	62.040000	0.127732
79.714493	62.410000	0.127946
79.964506	62.440000	0.128098
80.214826	62.820000	0.129884
80.464537	62.840000	0.130776
80.714552	63.220000	0.131203
80.980451	63.420000	0.131944
81.277220	63.610000	0.131929
81.526872	63.640000	0.132898
81.776608	64.020000	0.133545
82.026623	64.040000	0.133946
82.276642	64.410000	0.134396
82.538836	64.440000	0.134584
82.788678	64.820000	0.135463
83.038688	64.840000	0.136149
83.288707	65.220000	0.136549
83.556237	65.420000	0.136598
83.814757	65.440000	0.137725
84.064731	65.830000	0.138373
84.315179	65.840000	0.139187
84.565044	66.220000	0.139681
84.814785	66.240000	0.140365
85.064794	66.620000	0.140972
85.328971	66.830000	0.141651
85.597496	67.020000	0.142379
85.846833	67.230000	0.142124
86.098077	67.240000	0.142835
86.347863	67.620000	0.143228
86.598138	67.640000	0.143786
86.848187	68.020000	0.144827
87.097920	68.040000	0.145312
87.347933	68.420000	0.145944
87.611751	68.620000	0.145823
87.871078	68.630000	0.146372
88.120959	69.010000	0.147125
88.371205	69.020000	0.147612
88.621288	69.420000	0.148615
88.871011	69.620000	0.148840
89.143481	69.810000	0.149650
89.410828	70.010000	0.150137
89.681893	70.220000	0.149955
89.931357	70.230000	0.150749
90.181086	70.610000	0.151727
90.431116	70.820000	0.151979
90.727036	70.940000	0.152024
90.984388	71.220000	0.152242
91.234140	71.240000	0.153046
91.484382	71.610000	0.153422
91.734466	71.630000	0.154150
91.984191	72.020000	0.154902
92.234224	72.220000	0.154874
92.498626	72.420000	0.155596
92.767156	72.620000	0.155390
93.025463	72.640000	0.155471
93.275256	73.020000	0.155894
93.525505	73.040000	0.156710
93.775589	73.420000	0.157574
94.025309	73.440000	0.157911
94.275328	73.820000	0.158025
94.539483	74.020000	0.158686
94.789344	74.230000	0.158783
95.039370	74.240000	0.159441
95.289385	74.620000	0.159709
95.559821	74.820000	0.160129
95.809402	74.830000	0.159867
96.059827	75.230000	0.160323
96.309434	75.240000	0.160730
96.559690	75.620000	0.161532
96.809761	75.650000	0.161835
97.059481	76.020000	0.162559
97.309505	76.230000	0.162655
97.574198	76.350000	0.162325
97.833595	76.620000	0.162893
98.083763	76.640000	0.163210
98.333794	77.020000	0.163889
98.583830	77.040000	0.164315
98.833586	77.420000	0.164789
99.083596	77.620000	0.164838
99.347840	77.750000	0.164761
99.605212	78.020000	0.164942
99.854671	78.040000	0.165373
100.104898	78.420000	0.166051
100.354936	78.440000	0.167088
100.604684	78.820000	0.167199
100.854703	79.020000	0.167237
101.119232	79.230000	0.167622
101.368723	79.420000	0.167364
101.619000	79.430000	0.167675
101.868760	79.830000	0.167796
102.119021	79.840000	0.168455
102.369072	80.230000	0.169030
102.619607	80.240000	0.169614
102.868827	80.630000	0.169428
103.134366	80.820000	0.169299
103.391878	80.840000	0.169568
103.641849	81.230000	0.169755
103.892126	81.240000	0.170357
104.142192	81.630000	0.171032
104.391934	81.650000	0.171463
104.641925	82.030000	0.171472
104.906387	82.220000	0.171133
105.166079	82.240000	0.171279
105.416174	82.630000	0.171630
105.666236	82.650000	0.172412
105.915996	83.020000	0.172877
106.166006	83.040000	0.173068
106.416016	83.430000	0.173154
106.679247	83.620000	0.172882
106.938214	83.640000	0.173205
107.188117	84.020000	0.173450
107.438345	84.040000	0.174041
107.688584	84.430000	0.174340
107.938136	84.450000	0.174921
108.188481	84.830000	0.175225
108.451620	85.030000	0.174643
108.710944	85.050000	0.174909
108.960207	85.430000	0.175295
109.210422	85.450000	0.175766
109.460473	85.810000	0.176068
109.710214	85.830000	0.176592
109.960611	86.210000	0.176931
110.224383	86.430000	0.177333
110.473251	86.430000	0.176673
110.724111	86.830000	0.176927
110.973268	86.840000	0.177453
111.223571	87.220000	0.177869
111.473596	87.240000	0.178483
111.723325	87.620000	0.178952
111.973352	87.820000	0.179067
112.238616	87.950000	0.179022
112.497968	88.220000	0.179213
112.747374	88.240000	0.179576
112.997665	88.620000	0.180176
113.247711	88.640000	0.180812
113.497432	89.030000	0.181090
113.747454	89.230000	0.180450
114.011360	89.430000	0.180967
114.260458	89.630000	0.180506
114.512474	89.750000	0.181394
114.762727	90.030000	0.181148
115.012850	90.050000	0.181771
115.262814	90.430000	0.182058
115.512561	90.630000	0.182364
115.783969	90.750000	0.182104
116.042486	91.030000	0.182778
116.291579	91.040000	0.182913
116.541863	91.430000	0.183201
116.791983	91.450000	0.183694
117.041682	91.820000	0.184550
117.291652	92.020000	0.184105
117.557875	92.150000	0.183895
117.815119	92.440000	0.184183
118.064689	92.440000	0.184409
118.314929	92.830000	0.184960
118.564993	92.850000	0.185421
118.814729	93.230000	0.186076
119.064751	93.440000	0.186253
119.329490	93.550000	0.185745
119.587977	93.830000	0.186166
119.837777	93.820000	0.228790
120.088046	94.210000	0.372666
120.338115	94.220000	0.595387
120.587846	94.670000	1.028401
120.838170	0.000000	4.999841
121.101201	0.000000	4.999864
121.357761	0.000000	4.999871
121.615340	0.000000	4.999874
121.865192	0.000000	4.999873
122.114921	0.000000	4.999873
122.364942	0.000000	4.999873
122.614935	0.000000	4.999874
122.889233	0.000000	4.999881
123.138980	0.000000	4.999881
123.389228	0.000000	4.999882
123.639302	0.000000	4.999881
123.889032	0.000000	4.999879
124.139039	0.000000	4.999882
124.389042	0.000000	4.999885
124.639344	0.000000	4.999887
124.889366	0.000000	4.999882
125.145363	0.000000	4.999874
125.395093	0.000000	4.999878
125.645355	0.000000	4.999884
125.895419	0.000000	4.999881
126.145147	0.000000	4.999888
126.395167	0.000000	4.999881
126.660584	0.000000	4.999886
126.917081	0.000000	4.999888
127.166196	0.000000	4.999892
127.416459	0.000000	4.999886
