Time [s]	Current [A]	Voltage [V]	
0.751691	1.950000	0.000487
1.001298	3.010000	0.000663
1.250765	3.480000	0.000917
1.501184	5.010000	0.001098
1.751388	5.100000	0.001438
2.001088	7.010000	0.001554
2.251037	7.130000	0.001845
2.500901	9.010000	0.002229
2.751171	9.120000	0.002585
3.000901	11.010000	0.002858
3.250897	12.010000	0.003103
3.512544	12.730000	0.003115
3.770684	14.020000	0.003380
4.019929	14.150000	0.003640
4.269960	16.010000	0.004069
4.520291	16.140000	0.004377
4.770299	18.010000	0.004681
5.020000	19.000000	0.004938
5.285335	20.010000	0.005204
5.535011	21.010000	0.005205
5.785833	21.140000	0.005466
6.035271	23.020000	0.005731
6.285916	23.140000	0.006103
6.535087	25.020000	0.006506
6.785369	25.130000	0.006769
7.035111	27.010000	0.006987
7.300192	28.020000	0.007039
7.558451	28.140000	0.007292
7.808152	30.010000	0.007565
8.058415	30.130000	0.007984
8.308191	32.010000	0.008299
8.558495	32.130000	0.008601
8.808212	34.020000	0.008791
9.073300	35.020000	0.008872
9.331788	35.120000	0.009118
9.581241	37.010000	0.009391
9.831548	37.130000	0.009759
10.081286	39.020000	0.010124
10.331556	39.120000	0.010428
10.581325	41.020000	0.010619
10.846195	42.020000	0.010949
11.114293	43.010000	0.011209
11.409468	44.020000	0.011213
11.667869	44.100000	0.011474
11.917373	46.020000	0.011735
12.167648	46.100000	0.012137
12.416710	48.020000	0.012460
12.666430	48.120000	0.012778
12.916453	50.020000	0.012963
13.182071	51.020000	0.013045
13.441422	51.110000	0.013305
13.690476	53.020000	0.013568
13.940591	53.090000	0.013892
14.190516	55.010000	0.014237
14.440559	55.090000	0.014597
14.690548	57.020000	0.014776
14.954808	58.020000	0.015135
15.223224	58.660000	0.015138
15.481666	60.030000	0.015401
15.731598	60.110000	0.015665
15.981946	62.020000	0.016005
16.231705	62.110000	0.016382
16.481651	64.020000	0.016708
16.731669	65.020000	0.016912
16.996939	66.020000	0.017233
17.264306	67.020000	0.017496
17.513699	68.020000	0.017610
17.763733	68.110000	0.018012
18.013743	70.010000	0.018126
18.284590	71.020000	0.018285
18.542946	71.100000	0.018546
18.792770	73.020000	0.018813
19.043157	73.100000	0.019220
19.292820	75.030000	0.019533
19.542830	75.120000	0.019857
19.792845	77.020000	0.020062
20.057069	78.020000	0.020384
20.306861	78.120000	0.020384
20.557140	80.030000	0.020647
20.806885	80.130000	0.020911
21.057177	82.030000	0.021326
21.306944	82.120000	0.021638
21.557336	84.020000	0.021958
21.806952	85.030000	0.022213
22.071425	86.020000	0.022488
22.320972	87.020000	0.022489
22.571197	87.120000	0.022753
22.820999	89.030000	0.023017
23.071314	89.120000	0.023366
23.321040	91.030000	0.023786
23.571077	91.110000	0.024066
23.821072	93.030000	0.024260
24.085695	94.030000	0.024597
24.335087	94.130000	0.024598
24.585542	96.030000	0.024860
24.835117	96.130000	0.025124
25.085390	98.030000	0.025470
25.335155	98.110000	0.025889
25.585172	100.030000	0.026176
