Time [s]	Current [A]	Voltage [V]	
0.801547	1.010000	0.000002
1.051341	1.510000	0.004664
1.301348	2.010000	0.006182
1.551610	2.040000	0.006391
1.801363	3.010000	0.008053
2.051673	3.070000	0.010042
2.301878	4.020000	0.012403
2.552564	4.350000	0.014215
2.801653	5.010000	0.014694
3.054585	5.050000	0.017300
3.303903	6.010000	0.019278
3.553505	6.510000	0.020628
3.821763	6.830000	0.021428
4.079479	7.510000	0.023150
4.329639	7.570000	0.024984
4.579916	8.520000	0.027019
4.829559	8.580000	0.029487
5.079565	9.510000	0.031774
5.329585	10.010000	0.033417
5.579580	10.510000	0.034776
5.829600	11.010000	0.037106
6.079619	11.360000	0.037172
6.336147	12.010000	0.038950
6.585638	12.070000	0.040778
6.835672	13.020000	0.043143
7.085873	13.080000	0.046042
7.335700	14.010000	0.048171
7.585705	14.500000	0.049397
7.850933	14.860000	0.050104
8.109937	15.510000	0.051986
8.359766	15.580000	0.053899
8.609762	16.520000	0.056395
8.860011	16.580000	0.059127
9.109794	17.500000	0.061586
9.359809	18.010000	0.063023
9.623576	18.370000	0.063622
9.881648	19.000000	0.065571
10.130838	19.070000	0.067727
10.381133	20.020000	0.070084
