Time [s]	Current [A]	Voltage [V]	
0.782204	0.000000	0.000000
1.041506	1.210000	0.000069
1.268489	1.610000	0.000106
1.508718	2.010000	0.000134
1.751438	2.400000	0.000160
1.991986	2.810000	0.000160
2.250201	2.840000	0.000187
2.491619	3.610000	0.000240
2.733595	3.640000	0.000242
2.975208	4.410000	0.000294
3.217209	4.450000	0.000297
3.459712	5.210000	0.000324
3.700217	5.240000	0.000350
3.943068	6.010000	0.000379
4.185185	6.250000	0.000430
4.426973	6.810000	0.000433
4.668557	7.060000	0.000486
4.909191	7.620000	0.000487
5.150931	7.880000	0.000542
5.392586	8.420000	0.000544
5.635569	8.460000	0.000566
5.868562	9.220000	0.000596
6.144428	9.250000	0.000630
6.386915	10.020000	0.000655
6.628946	10.290000	0.000706
6.871003	10.820000	0.000706
7.112705	11.090000	0.000762
7.353980	11.610000	0.000756
7.594570	11.670000	0.000790
7.821667	12.410000	0.000821
8.078583	12.460000	0.000841
8.321033	13.220000	0.000870
8.563449	13.490000	0.000923
8.804813	14.020000	0.000925
9.046199	14.290000	0.000983
9.286826	14.820000	0.000978
9.528506	14.860000	0.001008
9.771316	15.610000	0.001034
10.011836	15.670000	0.001059
10.253708	16.420000	0.001117
10.495594	16.470000	0.001118
10.737326	17.210000	0.001169
10.980106	17.250000	0.001172
11.220319	18.010000	0.001197
11.462068	18.060000	0.001223
11.704948	18.810000	0.001256
11.945410	18.860000	0.001274
12.187189	19.610000	0.001337
12.429403	19.660000	0.001338
12.670983	20.410000	0.001388
12.913799	20.470000	0.001387
13.154054	21.210000	0.001414
13.395823	21.260000	0.001443
13.638610	22.010000	0.001469
13.880551	22.290000	0.001528
14.122484	22.810000	0.001525
14.362936	23.100000	0.001584
14.604485	23.610000	0.001584
14.847449	23.660000	0.001611
15.087983	24.420000	0.001635
15.329671	24.460000	0.001667
15.565355	25.210000	0.001688
15.841170	25.270000	0.001715
16.081517	26.020000	0.001745
16.323951	26.290000	0.001800
16.565720	26.820000	0.001804
16.807420	27.090000	0.001853
17.050339	27.610000	0.001855
17.290661	27.660000	0.001880
17.532307	28.420000	0.001908
17.775047	28.460000	0.001938
18.017092	29.220000	0.001991
18.258924	29.260000	0.001991
18.499680	30.020000	0.002047
18.741315	30.060000	0.002046
18.983833	30.820000	0.002072
19.224566	30.860000	0.002102
19.466056	31.610000	0.002128
19.694938	32.020000	0.002172
19.907554	32.290000	0.002198
20.164802	32.820000	0.002209
20.406293	32.860000	0.002239
20.649222	33.620000	0.002263
20.889702	33.660000	0.002294
21.131679	34.410000	0.002345
21.373698	34.680000	0.002344
21.625455	35.220000	0.002376
21.883693	35.250000	0.002399
22.125208	36.010000	0.002457
22.368409	36.050000	0.002451
22.608447	36.820000	0.002479
22.850170	36.860000	0.002510
23.093139	37.620000	0.002538
23.333436	37.660000	0.002564
23.575733	38.410000	0.002618
23.817549	38.450000	0.002617
24.060145	39.220000	0.002675
24.300810	39.260000	0.002673
24.542090	40.010000	0.002701
24.768489	40.290000	0.002741
25.025804	40.820000	0.002759
25.253931	41.220000	0.002807
25.481827	41.260000	0.002814
25.723581	42.020000	0.002841
25.966413	42.050000	0.002863
26.206940	42.820000	0.002890
26.449760	43.080000	0.002919
26.700544	43.610000	0.002953
26.959178	43.650000	0.002975
27.186924	44.050000	0.003012
27.414662	44.810000	0.003029
27.657962	44.850000	0.003055
27.898196	45.620000	0.003083
28.139944	45.650000	0.003110
28.382673	46.420000	0.003137
28.624816	46.670000	0.003194
28.865424	47.220000	0.003192
29.106953	47.470000	0.003245
29.349941	48.020000	0.003247
29.590356	48.050000	0.003275
29.831929	48.820000	0.003302
30.074922	48.860000	0.003329
30.316686	49.630000	0.003382
30.557422	49.660000	0.003384
30.799212	50.430000	0.003436
31.042232	50.460000	0.003438
31.282448	51.230000	0.003465
31.524201	51.270000	0.003493
31.766976	52.010000	0.003521
31.994199	52.420000	0.003559
32.221942	52.450000	0.003575
32.463837	53.220000	0.003602
32.706530	53.240000	0.003629
32.947053	54.020000	0.003657
33.173456	54.420000	0.003711
33.440782	54.820000	0.003711
33.699457	54.840000	0.003739
33.940949	55.610000	0.003789
34.182713	55.640000	0.003792
34.424535	56.420000	0.003844
34.667439	56.450000	0.003848
34.908066	57.220000	0.003875
35.150693	57.240000	0.003903
35.391070	58.020000	0.003930
35.619467	58.420000	0.003969
35.831405	58.830000	0.004011
36.075480	58.840000	0.004020
36.304440	59.630000	0.004040
36.546452	59.860000	0.004094
36.788306	60.420000	0.004094
37.029077	60.670000	0.004145
37.270802	61.220000	0.004148
37.512225	61.250000	0.004176
37.754960	62.020000	0.004202
37.995560	62.040000	0.004230
38.237296	62.820000	0.004281
38.479215	62.850000	0.004285
38.722391	63.620000	0.004339
38.962723	63.660000	0.004339
