Time [s]	Current [A]	Voltage [V]	
1.396539	0.000000	0.000002
1.623907	1.210000	0.000067
1.850655	1.600000	0.000091
2.079266	1.850000	0.000137
2.319496	2.410000	0.000135
2.561278	2.630000	0.000189
2.804026	3.200000	0.000199
3.044490	3.250000	0.000232
3.286419	4.010000	0.000268
3.512910	4.280000	0.000305
3.769770	4.820000	0.000340
4.011633	5.060000	0.000409
4.253248	5.610000	0.000414
4.495038	5.870000	0.000487
4.738004	6.410000	0.000490
4.978254	6.440000	0.000530
5.219846	7.210000	0.000569
5.446691	7.470000	0.000623
5.704629	8.020000	0.000649
5.946359	8.280000	0.000732
6.188472	8.810000	0.000736
6.428761	9.090000	0.000813
6.670535	9.610000	0.000812
6.913020	9.660000	0.000854
7.153537	10.410000	0.000900
7.388910	10.690000	0.000931
7.664449	11.210000	0.000979
7.906925	11.260000	0.001016
8.148803	12.010000	0.001107
8.390494	12.060000	0.001103
8.631170	12.820000	0.001186
8.872913	12.860000	0.001195
9.115532	13.610000	0.001237
9.356146	13.660000	0.001276
9.597819	14.420000	0.001320
9.833713	14.690000	0.001365
10.109520	15.220000	0.001408
10.349882	15.260000	0.001447
10.591496	16.030000	0.001544
10.833446	16.060000	0.001540
11.075025	16.810000	0.001631
11.318122	16.870000	0.001634
11.558259	17.610000	0.001681
11.800113	17.660000	0.001717
12.026611	18.420000	0.001770
12.285175	18.460000	0.001815
12.526545	19.220000	0.001909
12.768434	19.260000	0.001910
13.010119	20.010000	0.002011
13.250636	20.060000	0.002005
13.493101	20.810000	0.002054
13.733884	20.860000	0.002097
13.975514	21.620000	0.002147
14.217505	21.890000	0.002242
14.459287	22.420000	0.002240
14.701077	22.690000	0.002343
14.943752	23.220000	0.002342
15.184138	23.260000	0.002392
15.410876	24.010000	0.002448
15.667986	24.060000	0.002492
15.909511	24.820000	0.002585
16.151517	24.870000	0.002599
16.393171	25.620000	0.002687
16.635524	25.660000	0.002692
16.877074	26.410000	0.002743
17.119653	26.460000	0.002792
17.360167	27.210000	0.002847
17.603028	27.250000	0.002898
17.844930	28.020000	0.002991
18.086673	28.060000	0.003000
18.327244	28.820000	0.003098
18.569285	28.850000	0.003107
18.812008	29.620000	0.003158
19.053269	29.660000	0.003212
19.294029	30.430000	0.003270
19.535846	30.690000	0.003367
19.777525	31.220000	0.003375
20.019235	31.490000	0.003482
20.262673	32.010000	0.003481
20.503137	32.060000	0.003527
20.744517	32.820000	0.003591
20.987521	32.870000	0.003651
21.214739	33.260000	0.003728
21.426291	34.020000	0.003769
21.684759	34.060000	0.003822
21.925910	34.810000	0.003875
22.168998	34.860000	0.003933
22.409446	35.620000	0.003989
22.662509	35.880000	0.004061
22.919773	36.420000	0.004094
23.161683	36.690000	0.004205
23.403397	37.220000	0.004223
23.645152	37.480000	0.004330
23.888128	38.020000	0.004334
24.128421	38.060000	0.004384
24.371137	38.820000	0.004462
24.611905	38.860000	0.004530
24.840150	39.260000	0.004630
25.069151	40.020000	0.004640
25.310019	40.290000	0.004775
25.552796	40.820000	0.004776
25.792992	40.850000	0.004838
26.034743	41.620000	0.004888
26.287151	41.890000	0.004986
26.546294	42.420000	0.005039
26.773141	42.820000	0.005123
27.000976	42.850000	0.005186
27.242617	43.620000	0.005244
27.486294	43.640000	0.005306
27.726033	44.420000	0.005359
27.968872	44.440000	0.005436
28.210779	45.230000	0.005554
28.452634	45.250000	0.005601
28.694375	46.020000	0.005728
28.935128	46.050000	0.005717
29.176388	46.820000	0.005807
29.419290	46.850000	0.005924
29.659909	47.620000	0.005954
29.901942	47.870000	0.006091
30.143497	48.420000	0.006128
30.385411	48.670000	0.006226
30.628138	49.220000	0.006224
30.868305	49.250000	0.006286
31.110073	50.030000	0.006356
31.352753	50.060000	0.006494
31.580106	50.470000	0.006590
31.807915	51.230000	0.006727
32.049644	51.260000	0.006784
32.292630	52.020000	0.006913
32.533322	52.060000	0.006995
32.775736	52.820000	0.006973
33.017878	53.060000	0.007178
33.259645	53.620000	0.007226
33.501489	53.850000	0.007407
33.742112	54.420000	0.007467
33.983596	54.440000	0.007592
34.226373	55.220000	0.007849
34.467015	55.250000	0.007892
34.708892	56.020000	0.008113
34.950733	56.050000	0.008270
35.192382	56.820000	0.008459
35.435375	56.850000	0.008433
35.675577	57.630000	0.008563
35.917368	57.660000	0.008776
36.160118	58.410000	0.008835
36.387476	58.810000	0.008935
36.615565	58.840000	0.008944
36.857198	59.630000	0.009109
37.099876	59.650000	0.009414
37.340560	60.420000	0.009491
37.583289	60.450000	0.009471
37.825229	61.220000	0.009666
38.066726	61.250000	0.010039
38.308496	62.020000	0.010068
38.549282	62.050000	0.010003
38.791025	62.820000	0.010141
39.033520	62.850000	0.010253
