Time [s]	Current [A]	Voltage [V]	
0.798239	0.000000	0.000002
1.058288	0.850000	0.000034
1.294988	1.610000	0.000067
1.536547	1.650000	0.000067
1.777337	2.410000	0.000098
2.020331	2.430000	0.000100
2.261392	3.210000	0.000117
2.502377	3.250000	0.000132
2.744215	4.010000	0.000173
2.986073	4.050000	0.000166
3.227832	4.810000	0.000202
3.470735	4.850000	0.000202
3.710918	5.610000	0.000216
3.937580	5.870000	0.000235
4.194263	6.420000	0.000251
4.436236	6.660000	0.000283
4.678377	7.210000	0.000284
4.919770	7.480000	0.000316
5.161547	8.020000	0.000319
5.388080	8.290000	0.000345
5.644800	8.810000	0.000350
5.871282	9.090000	0.000376
6.129414	9.620000	0.000388
6.371191	9.880000	0.000415
6.612971	10.410000	0.000413
6.855346	10.690000	0.000453
7.095681	11.210000	0.000455
7.337468	11.260000	0.000465
7.580045	12.010000	0.000484
7.820648	12.060000	0.000501
8.062442	12.820000	0.000531
8.304585	12.860000	0.000536
8.546171	13.620000	0.000572
8.788937	13.660000	0.000570
9.029308	14.420000	0.000587
9.270943	14.460000	0.000603
9.513690	15.230000	0.000621
9.747051	15.500000	0.000637
10.022913	16.010000	0.000653
10.265469	16.060000	0.000671
10.507405	16.810000	0.000702
10.749317	16.870000	0.000705
10.990902	17.620000	0.000736
11.231767	17.660000	0.000737
11.472949	18.410000	0.000742
11.699812	18.690000	0.000767
11.956839	19.220000	0.000789
12.198430	19.480000	0.000818
12.440201	20.010000	0.000825
12.682075	20.280000	0.000853
12.928994	20.810000	0.000852
13.165859	20.850000	0.000870
13.406791	21.610000	0.000886
13.649751	21.660000	0.000902
13.884179	22.410000	0.000920
14.159177	22.460000	0.000937
14.401472	23.220000	0.000952
14.643634	23.490000	0.000986
14.885903	24.020000	0.000987
15.127089	24.290000	0.001023
15.368621	24.820000	0.001019
15.609218	25.090000	0.001056
15.851255	25.620000	0.001055
16.094664	25.660000	0.001072
16.322166	26.050000	0.001098
16.550765	26.810000	0.001102
16.791067	27.090000	0.001139
17.032769	27.620000	0.001139
17.259154	27.890000	0.001160
17.516343	28.420000	0.001174
17.758205	28.680000	0.001208
17.999504	29.220000	0.001206
18.245309	29.480000	0.001243
18.484388	30.010000	0.001236
18.725122	30.060000	0.001257
18.966394	30.820000	0.001273
19.209433	30.860000	0.001288
19.451192	31.630000	0.001328
19.693079	31.670000	0.001324
19.934120	32.420000	0.001360
20.175951	32.460000	0.001359
20.418407	33.220000	0.001371
20.659273	33.260000	0.001388
20.902883	34.020000	0.001404
21.130238	34.410000	0.001433
21.358228	34.460000	0.001439
21.598554	35.210000	0.001453
21.840677	35.250000	0.001474
22.083070	36.020000	0.001492
22.323550	36.060000	0.001508
22.565566	36.820000	0.001545
22.807424	36.850000	0.001540
23.049074	37.620000	0.001576
23.292103	37.660000	0.001571
23.532370	38.420000	0.001589
23.774061	38.460000	0.001607
24.016840	39.210000	0.001621
24.244110	39.610000	0.001653
24.472051	39.670000	0.001658
24.713684	40.420000	0.001674
24.939914	40.690000	0.001696
25.197281	41.210000	0.001706
25.439811	41.260000	0.001723
25.682141	42.020000	0.001761
25.924311	42.050000	0.001758
26.165292	42.820000	0.001793
26.406088	42.840000	0.001791
26.647421	43.620000	0.001807
26.890438	43.650000	0.001824
27.130912	44.420000	0.001841
27.372691	44.660000	0.001874
27.614484	45.220000	0.001875
27.856016	45.450000	0.001908
28.098988	46.010000	0.001909
28.339296	46.050000	0.001925
28.580947	46.820000	0.001942
28.823781	46.850000	0.001958
29.051268	47.260000	0.001984
29.278833	48.020000	0.001992
29.520719	48.060000	0.002010
29.763568	48.820000	0.002026
30.004039	48.860000	0.002042
30.230307	49.630000	0.002076
30.497782	50.030000	0.002094
30.766025	50.430000	0.002093
31.024588	50.460000	0.002110
31.250594	51.230000	0.002128
31.507902	51.250000	0.002143
31.749580	52.020000	0.002177
31.991457	52.270000	0.002177
32.243407	52.820000	0.002194
32.501421	52.840000	0.002210
32.743047	53.620000	0.002244
32.986076	53.640000	0.002243
33.226060	54.420000	0.002261
33.467945	54.440000	0.002278
33.710677	55.210000	0.002294
33.951442	55.450000	0.002310
34.204677	56.010000	0.002333
34.461812	56.040000	0.002345
34.689671	56.450000	0.002366
34.918522	57.220000	0.002377
35.159439	57.240000	0.002394
35.402056	58.020000	0.002411
35.642722	58.050000	0.002429
35.884054	58.820000	0.002445
36.126206	59.060000	0.002478
36.367917	59.620000	0.002477
36.610816	59.860000	0.002513
36.852782	60.420000	0.002512
37.093060	60.450000	0.002527
37.335650	61.220000	0.002545
37.576302	61.250000	0.002561
37.818262	62.020000	0.002595
38.060047	62.280000	0.002594
38.314535	62.460000	0.002623
38.543920	63.220000	0.002629
38.784561	63.250000	0.002645
39.027340	64.020000	0.002662
39.267684	64.050000	0.002678
39.509322	64.830000	0.002696
39.751147	65.090000	0.002730
39.992968	65.620000	0.002729
40.234597	65.870000	0.002764
40.477510	66.430000	0.002763
40.718040	66.460000	0.002779
40.960829	67.220000	0.002796
41.201513	67.260000	0.002813
41.429682	68.030000	0.002840
41.694969	68.280000	0.002846
41.954696	68.820000	0.002863
42.196400	69.070000	0.002897
42.438018	69.610000	0.002896
42.679976	69.870000	0.002931
42.920400	70.430000	0.002931
43.162941	70.450000	0.002948
43.403399	71.220000	0.002964
43.645673	71.250000	0.002981
43.897417	72.020000	0.003014
44.139940	72.270000	0.003014
44.397165	72.820000	0.003030
44.638926	73.070000	0.003063
44.880811	73.620000	0.003064
45.123514	73.860000	0.003098
45.364453	74.430000	0.003097
45.605770	74.460000	0.003114
45.832044	75.220000	0.003147
46.099147	75.470000	0.003147
46.357568	76.020000	0.003164
46.600056	76.060000	0.003180
46.840651	76.820000	0.003198
47.082660	77.080000	0.003232
47.324291	77.620000	0.003231
47.566195	77.880000	0.003267
47.809182	78.420000	0.003265
48.049289	78.460000	0.003282
48.292562	79.220000	0.003297
48.532802	79.270000	0.003315
48.774929	80.030000	0.003350
49.016565	80.060000	0.003349
49.258111	80.830000	0.003384
49.500209	80.860000	0.003382
49.742441	81.620000	0.003399
49.983068	81.660000	0.003416
50.225923	82.430000	0.003432
50.453398	82.820000	0.003464
50.665925	83.080000	0.003474
50.924282	83.630000	0.003484
51.164385	83.660000	0.003499
51.407318	84.430000	0.003516
51.647838	84.470000	0.003533
51.889795	85.230000	0.003568
52.131666	85.270000	0.003567
52.373535	86.020000	0.003602
52.616315	86.060000	0.003600
52.856558	86.830000	0.003617
53.099599	86.860000	0.003633
53.340267	87.630000	0.003651
53.583215	87.880000	0.003687
53.823700	88.420000	0.003683
54.065445	88.680000	0.003719
54.307168	89.230000	0.003718
54.549811	89.270000	0.003733
54.790405	90.030000	0.003750
55.016700	90.280000	0.003767
55.274076	90.830000	0.003784
55.515654	91.070000	0.003819
55.757478	91.630000	0.003817
55.999105	91.880000	0.003851
56.245197	92.430000	0.003851
56.482749	92.460000	0.003868
56.725280	93.240000	0.003885
56.966978	93.260000	0.003902
57.207810	94.030000	0.003936
57.449821	94.070000	0.003935
57.691186	94.830000	0.003969
57.933041	94.860000	0.003968
58.175735	95.630000	0.003985
58.416199	95.660000	0.004002
58.658934	96.420000	0.004019
58.886453	96.830000	0.004043
59.099067	97.090000	0.004054
59.357289	97.630000	0.004070
59.597440	97.660000	0.004086
59.840270	98.430000	0.004102
60.081022	98.460000	0.004120
60.322830	99.230000	0.004154
60.564447	99.270000	0.004153
60.806105	100.030000	0.004186
