Time [s]	Current [A]	Voltage [V]	
0.760657	0.000000	0.000001
0.976014	1.200000	0.000052
1.203591	1.450000	0.000051
1.462772	2.010000	0.000068
1.704046	2.230000	0.000102
1.946027	2.810000	0.000104
2.187780	3.050000	0.000138
2.429750	3.610000	0.000139
2.670330	3.880000	0.000177
2.912769	4.400000	0.000174
3.153153	4.460000	0.000192
3.394661	5.220000	0.000209
3.636870	5.470000	0.000245
3.878507	6.010000	0.000244
4.120238	6.250000	0.000279
4.363374	6.820000	0.000279
4.603543	6.850000	0.000296
4.830270	7.620000	0.000331
5.070930	7.900000	0.000334
5.346732	8.410000	0.000365
5.597400	8.460000	0.000366
5.831495	9.210000	0.000381
6.107556	9.260000	0.000404
6.349853	10.020000	0.000421
6.592175	10.290000	0.000454
6.834247	10.810000	0.000451
7.075652	11.090000	0.000494
7.316355	11.610000	0.000487
7.559137	11.670000	0.000504
7.799399	12.410000	0.000532
8.041164	12.460000	0.000541
8.299528	13.220000	0.000574
8.552522	13.260000	0.000578
8.793088	14.040000	0.000593
9.035124	14.290000	0.000642
9.276997	14.820000	0.000626
9.518619	15.090000	0.000668
9.762130	15.620000	0.000668
10.001888	15.670000	0.000683
10.243356	16.420000	0.000697
10.470266	16.690000	0.000723
10.728144	17.210000	0.000734
10.970167	17.490000	0.000772
11.211952	18.010000	0.000769
11.454076	18.290000	0.000811
11.694012	18.810000	0.000808
11.920659	19.080000	0.000818
12.177640	19.610000	0.000843
12.419055	19.660000	0.000862
12.660865	20.410000	0.000898
12.902806	20.460000	0.000894
13.144148	21.210000	0.000932
13.387393	21.260000	0.000928
13.627662	22.010000	0.000946
13.870383	22.060000	0.000966
14.110948	22.820000	0.000982
14.353008	23.090000	0.001022
14.594892	23.620000	0.001018
14.836836	23.890000	0.001058
15.078123	24.420000	0.001048
15.304759	24.690000	0.001078
15.561808	25.220000	0.001089
15.804229	25.270000	0.001105
16.062384	26.010000	0.001135
16.314017	26.050000	0.001141
16.555493	26.820000	0.001161
16.797251	27.090000	0.001196
17.039017	27.620000	0.001196
17.280634	27.890000	0.001230
17.523497	28.420000	0.001228
17.764279	28.460000	0.001250
18.006607	29.220000	0.001263
18.247257	29.260000	0.001280
18.475951	30.010000	0.001318
18.741177	30.290000	0.001320
19.000492	30.820000	0.001335
19.242114	31.090000	0.001374
19.484160	31.630000	0.001369
19.725605	31.890000	0.001409
19.967052	32.420000	0.001405
20.209420	32.460000	0.001422
20.450029	33.220000	0.001441
20.691910	33.260000	0.001459
20.920114	33.670000	0.001487
21.147901	34.410000	0.001496
21.390511	34.460000	0.001511
21.631160	35.210000	0.001526
21.872757	35.270000	0.001544
22.116051	36.020000	0.001561
22.357759	36.280000	0.001604
22.598438	36.810000	0.001597
22.839983	37.090000	0.001637
23.082986	37.620000	0.001634
23.323393	37.650000	0.001651
23.564980	38.410000	0.001670
23.807972	38.460000	0.001686
24.049815	39.220000	0.001724
24.290769	39.260000	0.001719
24.532312	40.010000	0.001761
24.775094	40.070000	0.001759
25.015280	40.820000	0.001774
25.257374	40.860000	0.001794
25.499958	41.610000	0.001809
25.727181	42.020000	0.001842
25.938603	42.280000	0.001845
26.197209	42.820000	0.001862
26.438550	42.850000	0.001880
26.681199	43.610000	0.001898
26.921745	43.640000	0.001915
27.163763	44.430000	0.001949
27.405668	44.660000	0.001950
27.657604	45.210000	0.001968
27.915855	45.470000	0.001985
28.167892	46.020000	0.002021
28.437120	46.420000	0.002039
28.704528	46.820000	0.002038
28.963018	46.850000	0.002055
29.204323	47.620000	0.002074
29.432641	48.020000	0.002102
29.645240	48.420000	0.002126
29.914988	48.460000	0.002135
30.143366	49.220000	0.002146
30.369628	49.480000	0.002164
30.627149	50.030000	0.002180
30.868627	50.270000	0.002215
31.110524	50.820000	0.002215
31.352149	51.060000	0.002250
31.595178	51.620000	0.002250
31.835108	51.650000	0.002267
32.076946	52.420000	0.002285
32.319652	52.450000	0.002302
32.560184	53.220000	0.002320
32.801976	53.460000	0.002355
33.044006	54.020000	0.002355
33.286908	54.240000	0.002391
33.527682	54.820000	0.002391
33.769255	54.840000	0.002407
34.011906	55.620000	0.002426
